sentence_id,speaker,text,timestamp_start,timestamp_end,session,speaker_role,lm_positive,lm_negative,lm_net_sentiment,word_count
0,Travis Axelrod,"Good afternoon, everyone, and welcome to Tesla's Third Quarter 2024 Q&A Webcast. My name is Travis Axelrod, Head of Investor Relations, and I'm joined today by Elon Musk, Vaibhav Taneja, and a number of other executives. Our Q3 results were announced at about 3:00 p.m. Central Time in the update deck we published at the same link as webcast.
During this call, we will discuss our business outlook and make forward-looking statements. These comments are based on our predictions and expectations as of today. Actual events or results could differ materially due to a number of risks and uncertainties, including those mentioned in our most recent filings with the SEC. [Operator Instructions] Before we jump into Q&A, Elon has some opening remarks. Elon?",,,management_discussion,executive,1.0,0.0,0.008,125.0
1,Elon Musk,"Thank you. So to recap, as someone was saying, something that what the industry was seeing year-over-year declines in order volumes in Q3. Tesla at the same time has achieved record deliveries. In fact, I think if you look at EV companies worldwide, to the best of my knowledge, no EV company is even profitable. And I'm not -- to the best of my knowledge, there was no EV division of any company, of any existing car company that is profitable.
So it is notable that Tesla is profitable despite a very challenging automotive environment, and this quarter actually is a record Q3 for us. So we produced our [ seventh million ] vehicle actually just yesterday, so congratulations to the teams that made it happen in Tesla. That's staggering the immense amount of work to make 7 million cars. So you see, we all have -- the energy storage business is growing like wildfire with strong demand for both Megapack and Powerwall.
And as you all know, on October 10, we laid out a vision for an autonomous and future that I think is very compelling that the Tesla team did a phenomenal job there with actually giving people an option to experience the future, where you have humanoid robots working among the craft, not with a canned video and a presentation or anything but walking among crowd so he drinks and whatnot. And we had 50 autonomous vehicles. There were 20 Cybercabs but there were an additional 30 Model Ys, operating fully autonomously the entire night, carrying thousands of people with no incidents the entire night.
And all those who went there that worth emphasizing that the Cybercab had no steering wheel or brake or accelerator panels, meaning there was no way for anyone to intervene manually a unit if they wanted to and the whole night went very smoothly.
So regarding the vehicle business, we are still on track to deliver our affordable models starting in the first half of 2025. This is -- I think probably people want should they assume for vehicle sales growth next year. And at the risk of -- to take a bit of risk here, I do want to give some rough estimate, which I think it's 20% to 30% vehicle growth next year, notwithstanding negative external events, like if there's some force majeure events, like some big war breaks out or interest rates go sky high or something like that. We can't overcome massive force majeure events.
But I think with our lower-cost vehicles with the advent of autonomy, something like a 20% to 30% growth next year is my best guess. And then Cybercab reaching volume production in '26. I do feel confident of Cybercab reaching volume production in '26, just starting production, reaching volume production in '26. And that should be substantial, but we're aiming for at least 2 million units a year of Cybercab. That will be in more than 1 factory but I think it's at least 2 million units a year, maybe 4 million ultimately.
So yes, these are just my best guesses but if you ask me my best guesses, those are my best guesses. The cell 4680 lines, the team is actually doing great work there. The 4680 is rapidly approaching the point where it is the most competitive cell. So when you consider the fully landed -- the cost of a battery pack fully landed in the U.S., net of incentives and duties, 4680 is tracking to be the most competitive, maybe lower cost per kilowatt hour, fully considered than any other alternative, which is -- we're not quite there yet but we're close to being there, which I think is extremely exciting.
And we've got several -- a lot of ideas to go well beyond that. So I think there's -- if we execute well, the 4680 -- we'll have the -- the Tesla internally produced cell will be the most cost competitive cell in North America, a testament to the tremendous amount of hard work there done by the team. So that's to say we'll continue to buy a lot of cells from our competitors. I tend not to -- to provide -- to make cells just internally. So I don't want to sort of here.
We're obviously increasing substantially our vehicle output and our stationary storage output so we need a lot of cells. And most of them will still come from suppliers. But I think it is some good news that the Tesla internal cell is likely to be the most competitive in the U.S.
So with respect to autonomy, as people are experiencing in the cars really from week to week, there are significant improvements and the miles between interventions. So with the new version 12.5 release of [indiscernible] and Cybertruck, combining the code into a single stack so that the city driving and the engine and highway driving are 1 stack, which is a big improvement for the highway driving. So it's just all neural nets. And the release of actually Smart -- we try to have a sense of humor here.
And we're also -- so that's 12.5. Version 13 of FSD is going out soon. will elaborate more on that later in the call. We expect to see roughly a 5- or 6-fold improvement in miles between interventions compared to 12.5. And actually, looking at the year as whole, the improvement in miles interventions, we think will be at least [indiscernible] So that's a very dramatic improvement in the course of the year, and we expect that trend to continue next year.
So the current total expectation, internal expectation for the Tesla FSD having longer miles [indiscernible] human is the second quarter of next year, which means it may end up being in the third quarter but it's next -- it seems extremely likely to be next year. Ashok, do you want to maybe",,,management_discussion,musk,22.0,7.0,0.015723270440251572,954.0
2,Ashok Elluswamy,"Yes. miles between critical interventions, mentioned by Elon already made 100x improvement with 12.5 from starting of this year and then with v13 release, we expect to be 1,000x from the beginning, from January of this year on production software. And this came in because of technology improvements going to end-to-end, having higher frame rate, partly also helped by hardware force, more capabilities, so on. And we hope that we continue to scale the neural network, the data, the training compute, et cetera. By Q2 next year, we should cross over the average, even in miles per critical intervention [indiscernible] in that case.",,,management_discussion,executive,2.0,0.0,0.019230769230769232,104.0
3,Elon Musk,"I mean, that is just, unvarnished, our internal estimate.",,,management_discussion,musk,0.0,0.0,0.0,9.0
4,Ashok Elluswamy,Yes.,,,management_discussion,executive,0.0,0.0,0.0,1.0
5,Elon Musk,"So that's not sandbagging or anything else. Our internal estimate is Q2 of next year to be safer than human and then to continue with rapid improvements thereafter.
A vast majority of humanity has no idea that Tesla could drive themselves so especially for something like a Model 3 or Model Y, it looks like a normal car. So you don't expect a normal car to be able to be intelligent enough to drive itself. A Cybercab looks different. A Cybertruck looks different, but Model Y and Model 3 are, look, they're good-looking cars, but look at the fairly normal. You don't expect a fairly normal looking car to have the intelligence, enough AI to be able to drive itself. But it does.
So we do want to expose that to more people, and so we're doing -- every time we have a significant improvement in the software, we'll roll out another sort of 30-day trial so to encourage people to try it again. And we are seeing a significant improvement in adoption. So the take rate for FSD has improved substantially, especially after the 10/10 event.
Yes. So there's no need to wait for robotaxi or Cybercab to experience full autonomy. We expect to achieve that next year with the -- with our existing vehicle line.",,,management_discussion,musk,8.0,1.0,0.03286384976525822,213.0
6,Ashok Elluswamy,"I wanted to actually someone gives a small taste of what it's going to look like, the car able to drive itself to the user within private parking lots. Currently, it's speed-limited but then it's going to quickly be increased. We already had more than 1 billion usage in terms of smart",,,management_discussion,executive,1.0,0.0,0.019230769230769232,52.0
7,Elon Musk,"Yes, and we actually -- we have for Tesla employees in the Bay Area, we already are offering ridehailing capabilities. So you can actually, with the development app, you can request a ride and it will take you anywhere in the Bay Area. We do have a safety driver for now but it's not required to do that. We've developed. And I mean, David, do you want to elaborate on that?",,,management_discussion,musk,0.0,0.0,0.0,70.0
8,David Lau,"Yes, sure. It's David. We showed some screenshots of this in the Q1 shareholder deck, and this is real. We've been testing it for the good part of the year. And the building blocks that we needed in order to build this functionality and deliver it to production, we've been thinking about working on for years.
It just so happens that we've used those building blocks to deliver great features for our customers in the meantime, such as sharing your profile, synchronizing it across cars so that every single car that you jump into, whether it's another car that you own or a car that somebody has loaned to you or a rental car that you jump into, it looks exactly like yours. Everything synchronized, seat mirror positions, media, navigation, everything is the same, just what you would expect from one of our robotaxis.
But we gave that functionality to our customers right now because we've built it intending for it to be used in the future, but we're releasing that functionality now. All the end-to-end cybersecurity that we knew we were going to need to deliver that functionality, sending a navigation destination from your phone to the vehicle. And so we're doing that now with the the ridehailing app, but it's something that we've made available to customers for years.
Seeing the progress on a route in the mobile app, that's something you'll need for the ridehailing app, but again, we released it in the meantime. So it's not like we're just starting to think about this stuff right now while we're building out the early stages of our ridehailing network. We've been thinking about this for quite a long time, and we're excited to get the functionality out there.",,,management_discussion,executive,3.0,0.0,0.010238907849829351,293.0
9,Elon Musk,"Yes. And we do expect to roll out ridehailing in California and Texas next year to the public. Now California is somewhere -- there's quite a long regulatory approval process. I think we should get approval next year but it's contingent upon regulatory approval. Texas is a lot faster so it's -- we'll definitely have available in Texas and probably have it available in California, subject to regulatory approval.
And then -- and maybe some other states actually next year as well, but at least California and Texas. So I think that would be very exciting. That's really a profound change. Tesla becomes more than a sort of vehicle and a battery manufacturing company at that point. So we published Q3 vehicle safety report, which shows 1 pack for every [indiscernible] pilot that compressed the U.S. average of crash roughly every 700,000 miles. So it's currently showing a 10x safety improvement relative to the U.S. average.
And we continue to expand our AI training capacity to accommodate the needs of both FSD and Optimus. We are currently not training compute-constrained. [indiscernible] probably the big limiting factors of the FSD is actually getting so good that it takes us a while to actually find mistakes. And when you start getting to where it can take 10,000 miles to find a mistake, it takes a while to actually figure out which it is, is software A better than software B? It actually takes a while to figure it out because neither 1 of them makes the mistakes, would take a long time to make mistakes. So it's actually the single biggest limiting factor is how long does it take us to figure out which version is better? Sort of a high-class problem.
Obviously, having a giant fleet is very helpful for breaking this out. And then with Optimus, we showed a mass improvement in Optimus exterior movement on October 10. And our next-gen which is 22 degrees freedom, which is double the prior and for. It's extremely human-like and so it's much better at tactile sensing. It's really -- I feel confident in saying that we have the most advanced humanoid robot by a long shot. And we're moreover the only company that really has all of the ingredients necessary to scale humanoid robots.
Because the things that what other companies are missing is that they're missing the AI brain, that they're missing people to really scale to very high-volume production. So you see some impressive video demos, but what like the localized AI and the volume to very high numbers. As I've said on a few occasions before, I think Optimus will ultimately be [indiscernible] part so I think has a good chance of being the most viable product that we made.
For the energy business, that's doing extremely well. And [indiscernible] ahead is The Lathrop Megapack factory reached 200 Megapacks a week, which is now a 40 gigawatt hour a year run rate. And we have a second factory in Shanghai that will begin with the 20 gigawatt hour year run rate in Q1 next year so next quarter. And that will also scale out. It won't be long before we're shipping 100 gigawatt hours a year stationary storage at Tesla.
And will that -- I mean, -- that will ultimately grow, I think, to multiple terawatt hours per year. It has to actually in order to have a sustainable energy future. If you're not at the terawatt scale, you're not really moving the needle. So if you look at our very complicated last master plan, which I think actually is too much detail, I'll maybe ask to analyze it and give us the TLDR on the management plan.
We shared in that master plan that it is possible to take all of us to a fully sustainable energy situation using sustainable energy, power generation and batteries and electric transport. And there were no fundamental material limitations, like there's not some very rare material that we don't have enough of. We actually have enough with raw materials to take all of human civilization, make it fully sustainable and dramatically increased its trust usage would still be fully sustainable.
One way to think of the progress of a civilization space a little esoteric but is percentage completion of at scale. So [indiscernible] scale, 1 would be you're using all the power of a planet. We're currently less than 1% on Level 1. Level 2 would be using all the power of the sun, and Level 3, all of power of the galaxy so we've got a long way to go, long way to go.
When you think in terms, it becomes obvious that by far, the biggest source of energy is the sun. Everything else is in the. So concluding, Tesla is focused on building the future of energy, transport, robotics and AI. And this is a time when others are just focused on managing around near-term trends. We think what we're doing is the right approach. And if we execute on our objectives, I think we will, my prediction is Tesla will become the most valuable company in the world and probably by a long shot.
I want to thank the Tesla team once again for strong execution in a tough operating environment, and we're looking forward to building an incredibly exciting future. Thank you.",,,management_discussion,musk,15.0,7.0,0.009070294784580499,882.0
10,Travis Axelrod,"Great. Thank you very much, Elon. And Vaibhav has some opening remarks as well.",,,management_discussion,executive,0.0,0.0,0.0,14.0
11,Vaibhav Taneja,"Thanks. Our Q3 results were positive and once again demonstrate the scale to which the business has evolved or with generation of record operating cash flows of $6.3 billion. Our automotive revenues grew both quarter-on-quarter and year-on-year. While we had unit volume growth, we did experience a reduction in ASPs primarily due to the impact of financing incentives. As a reminder, we are providing these incentives primarily using third-party banks and financial institution and recognize the cost of these incentives as an upfront reduction to revenue.
We released FSD for Cybertruck and other features like actually small [indiscernible] like Elon talked about in North America, which contributed $326 million of revenues in the quarter. We continue to see elevated levels of revenue [indiscernible] sales with over $2 billion of revenues so far this year. To expand on this at an industry level, China continues to outperform U.S. and Europe by a factor of 3. And if there is something to be learned from that, this gives a signal of what is to come in other regions. As customers' acceptance of EV growth, we feel that is the right strategy to build affordable and more compelling leads.
Our focus remains on growing unit volume while avoiding a buildup of inventory. To support this strategy, we're continuing to offer extremely compelling vehicle financing options in When you compare any vehicle in our lineup with other OEMs, we believe our vehicles provide much better value, particularly when you consider the safety features, performance and unparalleled software functionalities, like David also talked about, include also what Ashok had talked about around autonomy, music options, parental controls, and much more.
While every vehicle in our lineup comes up with these capabilities, there is an awareness gap not just with buyers but at times even with existing owners. We plan on making these more visible in our interactions with both existing and future customers. Automotive margins improved quarter-over-quarter as a result of a feature release discussed before. Increase in our overall production and delivery volume, benefit from the marketing pricing and more localized deliveries in region, which resulted in lower freight",,,management_discussion,executive,5.0,0.0,0.013927576601671309,359.0
12,Vaibhav Taneja,"Sustaining these margins in Q4, however, will be challenging, given the current economic environment. Note that we are focused on the cost per vehicle, and there are numerous work streams within the company to squeeze out cost without compromising on customer experience.",,,management_discussion,executive,0.0,1.0,-0.023809523809523808,42.0
13,Elon Musk,"Yes. I'm assuming that's a helpful -- hopefully a helpful macro trend is if there's a decline in interest rates, this has a massive effect on the automotive demand because the vast majority of people is -- the demand is driven by the monthly payment. Can they afford monthly payment? So most likely, we'll see continue to decline in interest rates, which helps with affordability of vehicles.",,,management_discussion,musk,0.0,2.0,-0.03076923076923077,65.0
14,Vaibhav Taneja,"Yes. I mean, that is 1 trend which we observed in the industry that because of the affordability being impacted because of interest rates, people are wanted the cars longer, especially in the U.S. And that is actually having an impact on the overall industry, too. As we discussed earlier, as we discussed in back orders, energy deployments fluctuate quarter-on-quarter due to customer readiness, location of orders being fulfilled, and not necessarily an indicator of demand of production within the quarter.
While we did see a decline in Q3, we expect to grow deployment sequentially in Q4 to end the year with more than double of last year. Energy margins in Q3 were a record at more than 30%. This is a function of mix of projects being deployed in the quarter. Note that there will be fluctuation in margins as we manage through deployments and our inventory. Our pipeline and backlog continue to grow quarter-over-quarter as we fill our 2025 production slots, and we are doing our best to keep up with the demand.
Just coming back on automotive margins. I talked about -- sorry, I talked about what is happening. One other thing which I want to also share is that we're seeing -- that we will continue to keep whatever we can to, like I said before, about squeezing of the cost. But this is something which we also are very capable of. I mean, just in Q3, we faced our lowest cost per vehicle, and that is a trend which we want to keep focused on.
Then going on to service and other. We continue to show improvements in Q3. This was a result of better performance, both in our service  as well as it includes collision, part sales, and merchandise and continued growth in supercharging. These fee-based revenues will continue to grow as the overall fleet size increases. Our operating expenses declined quarter-over-quarter and on year-on-year basis. This is partially due to the restructuring we undertook in Q2. Cost savings from these initiatives were partially offset by increase in costs related to our AI efforts.
We've started using the GPU cluster based out of our factory house and ahead of schedule and are on track to get 50,000 GPUs deployed in Texas by the end of this month. One thing which I'd like to elaborate is that we're being really judicious on our AI compute spend to and saying how best we can utilize the existing infrastructure before making further investments. On the CapEx front, we had about $3.5 billion in the quarter. This was a sequential increase largely because of investments in AI compute. We now expect our CapEx for the year to be in excess of $11 billion.
We shared our vision for the future at the event at the beginning of the month. The Tesla team is hyper-focused on delivering on that version. All efforts are underway to make it a reality. While we've achieved significant progress this year, it will take time to get this as we find new and incredibly complex technologies and navigate a fragmented regulatory landscape. The future is incredibly bright, and I want to thank the Tesla team once again for all their help.",,,management_discussion,executive,8.0,4.0,0.007407407407407408,540.0
15,Travis Axelrod,"Great. Thank you very much, Vaibhav. Now we'll go to investor questions. The first 1 is, is Tesla still on track to deliver the more affordable model next year as mentioned by Elon earlier? And how does it align with your AI and product road map?",,,management_discussion,executive,0.0,1.0,-0.022222222222222223,45.0
16,Lars Moravy,"Sure. I mean, as Elon and Vaibhav both said, we are on plan to meet that in the first half of next year. Ambition has always been to lower the cost of our vehicles to increase the adoption of sustainable energy and transport. Part of that is lowering the cost of our current vehicles, which is where all of the personally-owned vehicles that we sell today come in. But the next stage in that, really as it fits into AI road map, is well as we bring in robotaxis, which lowers the initial cost of getting into an EV and those -- that's really where we see the marriage of EV road map and the AI road map.",,,management_discussion,executive,0.0,0.0,0.0,118.0
17,Elon Musk,"Yes. It will be like with incentive [ sub-30,000 ], which is kind of a key threshold.",,,management_discussion,musk,0.0,0.0,0.0,15.0
18,Travis Axelrod,"Great. Thank you very much. Similar question next, when can we expect Tesla to give us the $25,000 non-robotaxi regular car model?",,,management_discussion,executive,0.0,1.0,-0.045454545454545456,22.0
19,Elon Musk,We're not breaking it on...,,,management_discussion,musk,0.0,0.0,0.0,5.0
20,Lars Moravy,"Yes, all our vehicles today [indiscernible]",,,management_discussion,executive,0.0,0.0,0.0,6.0
21,Elon Musk,"So I think we've made very clear that we're -- the future is autonomous. I mean, it's going to be -- I've actually said this many years ago, but that in my strong belief and I believe that is panning out to be true, very obvious retrospect is that the future is autonomous electric vehicles. And nonautonomous gasoline vehicles here will be like riding a horse and using a foot bone. It's not that there are no horses. Yes, there are some but they're unusual. They're niche.
And so everything is going to be electric autonomous. I think this is like it should be, frankly, blindingly obvious at this point, that is the future. So a lot of automotive companies, most of the companies have not internalized this, which is surprising because we're shouting from the rooftops for such a long time. And it will accrue to their detriments in the future. But all of our vehicles in the future will be autonomous.
Yes. So all the vehicles that we've really made, almost 7 million vehicles, the vast majority are capable of autonomy. And we're currently making on the order of 35,000 autonomous vehicles a week to say Waymo's entire fleet is less than -- they've less than 1,000 corners. We're making 35,000 a week.",,,management_discussion,musk,1.0,1.0,0.0,208.0
22,Lars Moravy,Yes. And our cars look normal.,,,management_discussion,executive,0.0,0.0,0.0,6.0
23,Elon Musk,"Yes, they mostly look normal. The Cybertruck looks abnormal. And the Cybercab, robotaxi, we wanted to have something futuristic looking, and I think it does look futuristic.
It's worth going with respect to the Cybercab, it's not -- it's especially not just a revolutionary vehicle design but a revolution in vehicle manufacturing that was also coming with the Cybercab. The cycle times like the units per hour of the Cybercab line, it is -- like this is just really something special. I mean, this is [indiscernible] of than other car manufacturing lines, like -- not even the same league is what I'm saying, not in the same league. So it's -- and I said like several years ago that maybe the most -- the hottest Tesla be the battery, just like by a factory.",,,management_discussion,musk,0.0,1.0,-0.007751937984496124,129.0
24,Lars Moravy,"Yes, can't reverse [indiscernible] factory",,,management_discussion,executive,0.0,0.0,0.0,5.0
25,Elon Musk,"Yes. It's like [indiscernible] And as we -- so we're rapidly evolving our manufacturing technology. So anyway, basically, I think having a regular $25,000 model is pointless. It would be silly, like completely at odds with what we believe.",,,management_discussion,musk,0.0,0.0,0.0,37.0
26,Lars Moravy,"In autonomous world, what matters is lowest cost per mile of efficiency of that vehicle. And that's what we've done with the robotaxi.",,,management_discussion,executive,1.0,0.0,0.043478260869565216,23.0
27,Elon Musk,"Exactly. It's fully considered cost per mile is what matters. And if you try to make a car that is essentially a hybrid, manual, automatic car, it's not going to be as good as a dedicated autonomous car. So yes, Cybercab is just not going to have stairwells and you design optimize for autonomous. It will cost on the order of cost roughly $25,000, so it is a $25,000. And you can -- you will be able to buy 1 exclusively if you want. So just what have [indiscernible]",,,management_discussion,musk,3.0,0.0,0.03529411764705882,85.0
28,Travis Axelrod,"Great. The next question is, what is Tesla doing to alleviate long wait times at service centers?",,,management_discussion,executive,0.0,1.0,-0.058823529411764705,17.0
29,Unknown Executive,So we aim on solving problems at the source so at the factory before they can even affect our customers. We believe the best service is no service. And really don't even...,,,management_discussion,other,2.0,1.0,0.03125,32.0
30,Elon Musk,"The car doesn't break, that's the best thing.",,,management_discussion,musk,1.0,1.0,0.0,8.0
